Clientes
nombre;apellidos;numero;email;contraseña;numeroReservas;puntosTienda
1;Laura;Fernández;690935273;laura.fernández1@ejemplo.com;pass1;5;41
1;María;García;697776278;maría.garcía2@ejemplo.com;pass2;4;0
1;Laura;Sánchez;653534296;laura.sánchez3@ejemplo.com;pass3;5;53
1;Marta;Torres;640615949;marta.torres4@ejemplo.com;pass4;1;23
1;Juan;Torres;668220851;juan.torres5@ejemplo.com;pass5;5;41
1;Carlos;Martínez;675663807;carlos.martínez6@ejemplo.com;pass6;3;94
1;Marta;Pérez;648054098;marta.pérez7@ejemplo.com;pass7;2;50
1;Laura;Pérez;678366556;laura.pérez8@ejemplo.com;pass8;2;12
1;Elena;Ruiz;692628129;elena.ruiz9@ejemplo.com;pass9;3;93
1;Ana;Fernández;658060905;ana.fernández10@ejemplo.com;pass10;5;84
1;Luis;Ruiz;661588533;luis.ruiz11@ejemplo.com;pass11;2;20
1;Marta;García;632130984;marta.garcía12@ejemplo.com;pass12;3;85
1;Carlos;López;620447727;carlos.lópez13@ejemplo.com;pass13;4;45
1;Marta;García;696183565;marta.garcía14@ejemplo.com;pass14;0;62
1;Marta;Martínez;678748433;marta.martínez15@ejemplo.com;pass15;4;50

